business_id,name,address,city,state,postal_code,review_count
1GnJDrpp-jyDRCptavD9RQ,Rita's Italian Ice,5004 Pennell Rd,Aston,PA,19014,7
YD_eZ4TaFrHYRrJVzOXHfw,Passport Health,"1034 S Brentwood Blvd, Ste 710",Saint Louis,MO,63117,11
h_qlv6CIXGVurFOhFQ945w,Tim Hortons,17004 111 Avenue NW,Edmonton,AB,T5S 2X1,6
QjV4v7q_pt7tt3K1US7IHg,PDQ Temple Terrace,5112 E Fowler Ave,Tampa,FL,33617,5
FTFtoylMzkrzqNVSl-bkKw,Giant Food Stores,60 N 23rd St,Philadelphia,PA,19103,19
59jkCUm4yHciKL1KW_1HJA,Roma Pizza & Italian Eatery,1103 Main St,Warrington,PA,18976,25
AzwiKZjVqHOxLaYtPAx8lA,Target,2450 Shoppers Ln,Wyncote,PA,19095,37
yM8LlTInbQH4FwWC97lz6w,McDonald's,1919 S Jefferson,St. Louis,MO,63104,100
tVdJ7CgBGAQ_nLomYXbB-Q,Cunningham Pest Control,"1125 W Chester Pike, Ste 178",Havertown,PA,19083,5
x8KYhsxbufQiYIK-4MRzHQ,West Coast Roofing,910 S Santa Rita Ave,Tucson,AZ,85749,13
3S9GYtMOYhbZl4MMPOHT0Q,The Handlebar Boise,1519 W Main St,Boise,ID,83702,34
znL4YrNbA2uwOQ3CchkmEA,Seaview Condominiums,14700 Gulf Blvd,Madeira Beach,FL,33708,8
CtMEJxpVMlNzFpB4PtFjfA,Aussie Grill,25340 Sierra Center Blvd,Lutz,FL,33559,75
O1oZpbZNDMH_gz8DhsZCdA,Wendy's,700 E. Hunting Park,Philadelphia,PA,19124,15
vPcfJ3rm3NpdqVDod2WxLA,China Pearl,2E Summit Sq Shopping Ctr,Langhorne,PA,19047,27
HI4_NqeHMJOnMoVFNxaFyA,1-Hour Auto Glass,"2292 W Magee Rd, Ste 270",Tucson,AZ,85742,21
pmuuoDqNZp7518AUd-YmPA,Bagelicious - King Of Prussia,216 W Beidler Rd,King of Prussia,PA,19406,60
tyJwgMRwo21wLUsga_RkQw,Blue Water Dental Care,1820 S Arlington Ave,Reno,NV,89509,10
2dlQX5sP9X6Dlm1MmNOlSw,ReAnimator Coffee,1523 E Susquehanna Ave,Philadelphia,PA,19125,105
8oi1Gm7XLyK31Y3N3Wp2Ig,A & A Complete Services,,Smithton,IL,62285,11
hdRtVNk-G9Ep4eaHPKXmfA,Carpet One Floor & Home,11005 N Oracle Rd,Oro Valley,AZ,85737,7
tSFXJ0GFl5iUdy021YgWLw,The Mad Griddle ,2127 E 10th St,Indianapolis,IN,46201,7
Nh1rc9aSeO-Y5lYmXVS6CA,Quality Inn Nashville Downtown - Stadium,303 Interstate Dr,Nashville,TN,37213,53
ZU6NodDOWaabGkeNpOWdXw,530 Pub & Grill,530 Cleveland St,Clearwater,FL,33755,6
mq5Z9X7yxgyApILQ11niNw,Wendy Warner- Medicine In Balance,"940 Town Center Dr, Ste F90",Langhorne,PA,19047,7
ONUZertKOOImiyQG66Z7Tg,Zakian Rug Cleaning,4930 Parkside Ave,Philadelphia,PA,19131,26
ULReFPrCIDRbGKwP3ZsHwg,Eddie's Southtown Donuts,4701 S Kingshighway Blvd,Saint Louis,MO,63109,55
25Uww0C0wvF9CZ_3B6vWtA,Enjoy The Mountain,1 Garden St,Santa Barbara,CA,93105,48
rCoWa-C7Os51GjFkCnFlVw,Rite Aid,700 Haddonfield Berlin Rd S37,Voorhees,NJ,08043,6
Dtuf4vD0znzwJW9vk3iTNw,Tomo Japanese Steakhouse and Sushi Bar,"7411 N Keystone Ave, Ste A",Indianapolis,IN,46240,246
Ucl9Vo5lwrUmYbV8Dv8X5g,O'Briens Irish Pub,15435 N Dale Mabry Hwy,Tampa,FL,33618,108
cSeA6pC9JUlGfz-RNfvnGw,Midwest RV Center,6200 Heimos Industrial Park Dr,St. Louis,MO,63129,33
WdrpkH-q7FQY5nclmPfoDQ,"Daniel Colombo , MD",10581 Double R Blvd,Reno,NV,89521,7
xF9r1XbMvEOsJeHlmFhIvw,Weddings in Santa Barbara,263 Santa Monica Way,Santa Barbara,CA,93109,13
6BF3eaIzHtoNHSxKTFnTyg,Mister B's Cigar Box,8123 E US Hwy 36,Avon,IN,46123,13
_mf0QKI1Jlk8zRinr-56FA,Jaguar Nashville,3 Cadillac Dr,Brentwood,TN,37027,10
h_3oLlQ_CFohwlzsrSZ6xQ,The Waxing Queen Of Tucson,2919 E Broadway Blvd,Tucson,AZ,85716,17
Y6heWJJ9AmEL58fZwgi9YQ,Rosati's Pizza,2944 W Ina Rd,Tucson,AZ,85741,58
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,765 S 4th St,Philadelphia,PA,19147,183
TF6QZYUR5atqBEFnHP5bOw,The UPS Store,"748 S Meadows Pkwy, Ste A-9",Reno,NV,89521,27
WveinioyAZg3dtt0zHsyHA,99 Cents Only Stores,7125 E Golf Links Rd,Tucson,AZ,85730,17
6czqMScx8MRDirv7fxX7pw,Frankie's Fruit Bar,205 E Moana Ln,Reno,NV,89502,34
bi3SICnYEuFC7Cihyqz8Nw,Thach Used Tires,4916 Causeway Blvd,Tampa,FL,33619,5
qb5pyP6XOS8K2uuC4eQHmQ,Union on Fletcher,3600 East Fletcher Ave,Tampa,FL,33613,8
CWE-NfyMgi28ePUiansSdQ,Jim's Appliance & Furniture,1115 Lusk St,Boise,ID,83706,24
uDQgmudYDKiB6n4vwbEeDg,Chrysalis,9040 Carothers Pkwy,Franklin,TN,37067,112
MyE_zdul_JO-dOHOug4GQQ,Watson Adventures Scavenger Hunts,,Philadelphia,PA,19019,8
8p9euqoMCbT4AIL_Fgqb0g,Ballistic Fabrication,2010 W McMillan St,Tuscon,AZ,85705,5
my0bmPD5dgDFE1ia__LNlw,Nails & Beauty Lounge,953 E Brandon Blvd,Brandon,FL,33511,84
TzrA1TsKMKbrZBkw3q6DEQ,Scout's Treat Truck,,Indianapolis,IN,46250,20
VVvUBlc_WIEb8obKGq39dA,Four Green Fields,"4100 George J Bean Pkwy, Airside E, Tampa International Airport",Tampa,FL,33607,39
FR5xx5YEzxAnoMdqGl7vRQ,Anytime Fitness,2141 Caton St,New Orleans,LA,70122,6
py5aKmlTB2NarfsfcOpHOQ,Cafe Con Leche,4100 George J Bean Pkwy,Tampa,FL,33607,55
jL_NufxqXi-BpW5uXKsPwQ,CVS Pharmacy,518 Port Royal Ave,Philadelphia,PA,19128,11
wZhGuW7vQpfhxeEvLHkTrA,Express Cafe,400 E Fairview Ave,Meridian,ID,83642,119
vjLSYNGFkPu4Y5HKoJlzYg,Rancho 777,777 E 4th St,Reno,NV,89512,5
I3ZLcrGzj-QN5vFgaJFrAg,Golf Galaxy,470 Swedesford Rd,Berwyn,PA,19312,25
Tm3QiAVLJAR2fEJK7APPPQ,City Fitness - Northern Liberties,200 Spring Garden St,Philadelphia,PA,19123,131
rJXa375PYt906DwptOOP3Q,Master Bait and Fishing Supplies,9735 W Hillsborough Ave,TAMPA,FL,33615,8
YR0nwxBOKk6DiLHNItfsBQ,Boston Pizza,200 St. Albert Rd,St Albert,AB,T8N 5H9,14
X4loIesbBkiTZLFstHv8Kw,Diagnostic Imaging Services,"4241 Veterans Memorial Blvd, Ste 100",Metairie,LA,70006,10
n8ecak12IF_jhnPNs37AZA,Baltic Bakery,2609 Edgemont St,Philadelphia,PA,19125,12
zzUxvYE-8Fj_dWqsPcagNg,The Cleaning Authority - Tucson,2140 S 4th Ave,Tucson,AZ,85713,25
s-A1_pxGRYL2x4gONVzvFA,Easy Rider Repair,,Delaware County,PA,19064,13
_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,219 S 52nd St,Philadelphia,PA,19139,66
OIsLivxtTTqH7i1QISoUOQ,Villas at San Dorado,10730 N Oracle Rd,Oro Valley,AZ,85737,7
6bFx8j2KqPfmT0XEUS1RMg,Center City Emergency Dentist,"1429 Walnut St, Fl 6",Philadelphia,PA,19102,120
G2Byuh4EVeSnqqWBWtD7rg,Wissahickon Cyclery,7837 Germantown Ave,Philadelphia,PA,19118,18
vSE6lkp5FBcttPxEbQ9XCw,Kim Kelly & Co Clinical Skin Care,"252 W Swamp Rd, Ste 56",Doylestown,PA,18901,7
iolaqx0v6g-fymksGWIU9A,Camden Bay Apartments,11302 W Hillsborough Ave,Tampa,FL,33635,53
G89OuZ3sIEfOR5cXeDqNaA,Bulls Barbershop,10811 N 56th St,Temple Terrace,FL,33617,5
1dSKEitDDgIkaApe6UNMSA,The Pepper Pott,4611 Alabama Ave,Nashville,TN,37209,18
rZw9O5lJ36m_mXeRKE4G9A,La Sponda,20 E Lancaster Ave,Downingtown,PA,19335,29
CLEWowfkj-wKYJlQDqT1aw,Blow Bar Express Styling Salon,"310 S Dale Mabry Hwy, Ste 110",Tampa,FL,33609,55
Pr_Mlt9FqdcW7WCFGJmozA,The Cider Factory,420 S B St,Virginia City,NV,89440,104
6I_DA3uqOox50rBvjrQ_-g,Aloft Philadelphia Airport,4301 Island Ave,Philadelphia,PA,19153,175
zn-WXkqHag5FSVc_LC9dEQ,Renee Hair Salon,1007 W Chester Pike,Havertown,PA,19083,5
qps-oF95uqPoV7fiXn-dpg,Bear's Skin Art Studio,11217 143 Street NW,Edmonton,AB,T5P 3M8,5
IAj1Lw3FAOY-yZn4IO7ElQ,Baum's Dancewear,1805 E Passyunk Ave,Philadelphia,PA,19148,17
en_F2VgZPW1RCnWkPyCrhg,Belle Chic Salon,"11901 N 1st Ave, Ste 131",Oro Valley,AZ,85737,19
cEqDvn5VuX8nQ_vqs6_xog,Alex Smith Hardwood Flooring,,Downingtown,PA,19335,5
96qKAK06EdkG6GPVxKDdTw,Goin' Postal Westhaven,"188 Front St, Ste 116, Westhaven Town Center",Franklin,TN,37064,16
WcSpc5mcfa7NUZ9GQgx0Tg,Endless Summer Tans,1708 E Speedway Blvd,Tucson,AZ,85719,9
zVlhs7BVaouutt-rles-YA,Williams Sub Shop,3801 Tyrone Blvd N,Saint Petersburg,FL,33709,99
1E9o1SNo7UTf1XHTFPv1_Q,Franklin Juice Co,"230 Franklin Rd, Ste 11W",Franklin,TN,37064,66
CPor0p2hvvHJJN4L0U_zEg,Ann Becnel Companion Dogs,6107 W End Blvd,New Orleans,LA,70124,20
f82dhKNiUXsDVPMLqKYiIQ,Sher-e-Punjab,853 East Grant Rd,Tucson,AZ,85719,446
FF45pKN_lzqG8Bqk-_HQvw,Go! Gyro! Go!,,Saint Louis,MO,63116,49
GrzCVNDTRODqNez4zb4RLw,The Music Box Village,4557 N Rampart St,New Orleans,LA,70117,22
scychO44eMoosS9iEBV7xw,Foot Massage Reflexology,7061 E Tanque Verde Rd,Tucson,AZ,85715,21
IOZrqUQ2Jg6UeQ5CWpsmkg,Nesbit's Magazine Street Market,301 Magazine St,New Orleans,LA,70130,7
28FfSlW07o8GTwOrbfNMHA,Bronze Lady Home Furnishings,15222 Municipal Dr,Madeira Beach,FL,33708,5
I0gSLthWBsiUPzBft_CZ9Q,Marino's Auto Repair,2028 S Bancroft St,Philadelphia,PA,19145,15
NBgbL_KQTRRLQPQQtmUkYQ,Mr Wizard Worcester Car Wash,3008 W Germantown Pike,Norristown,PA,19403,7
bDAlJYMIzwOewIThe2IZjQ,Domino's Pizza,4430 South Mann,Indianapolis,IN,46221,12
6WBHCXHfLAG26n0ALAkoPA,U-Haul of Somerdale,411 White Horse Pike,Somerdale,NJ,08083,11
x9xBKymj6CJ2WuCCFInb7g,Fine Wine & Good Spirits,"12 E Hinckley Ave, Ridley Pk",Chester,PA,19078,8
SRexiuEsx1d9-dZVUsssQA,Brandon Burgers,1513 W Brandon Blvd,Brandon,FL,33511,24
xJyp6RLqNRv3tSu6njPKxQ,World of Beer,"102 Main St, Ste 100",Exton,PA,19341,208
-VBhLd8DAz2VyDF3YBMH4g,Heritage Hardwood Floors,4450 60th Ave N,Saint Petersburg,FL,33714,11
1P_mGUY1PyPq7_ZabrzpBw,Carmine's Steakhouse,20 S 4th St,Saint Louis,MO,63102,261
mHDBZmEH0Er3184YS83_LQ,Splash Car Wash & Lube,802 W Bloomingdale Ave,Brandon,FL,33511,50
XwoXi0M66RU6Gouq-DSDHw,G Peppers Grill & Tavern,8745 Gunn Hwy,Odessa,FL,33556,82
1vmx7_L210UBbOWLzrhepQ,Chicago Music Store,45 S 6th Ave,Tucson,AZ,85701,44
ZiJfb924ewMO9S2f-9W9Pw,Advanced Towing & Recovery,1099 Menzler Rd,Nashville,TN,37210,15
0DbIUh_Xuj6H5B_SF0RLCQ,Iguana's Mexican Restaurant,"680 E 56th St, Ste A",Brownsburg,IN,46112,74
bSJczuohHVko33UT82hnfA,Blaze Pizza,611 O'keefe Ave,New Orleans,LA,70113,302
7hSJSIBUP1UQncD4xWPDqg,The Delaware Contemporary,200 S Madison St,Wilmington,DE,19801,11
yooufdsf3eAVq_9RQNSDJA,Mazzoni Center,"1348 Bainbridge St, Fl 2",Philadelphia,PA,19147,46
rmHgqdVkLsGN2byesWRo0w,Brewster's Pub,2825 Route 73 S,Maple Shade,NJ,08052,12
JfGfqCnk0-Tnf6PlahPUJQ,Burger Village,6187 Currents Drive NW,Edmonton,AB,T6W 0L9,10
aNXw3PkXVt8ANwLyCfcmpg,McDonald's,2333 Welsh Rd,Lansdale,PA,19446,17
RI8tdJy90bfApk836eF-ag,Solid Wood Cabinets,421 W Germantown Pike,Plymouth Meeting,PA,19462,8
j-PaHu9iyJBlzKJZYN2smA,Snacks By The Pound,"107A East Glenside Ave, Ste 1a",Glenside,PA,19038,8
Ot4bRWWO681vXZIgnLfjEA,Arizona Tile,756 E. Ft. Lowell,Tucson,AZ,85719,16
OURGUNuoVqPGxZTZsxZQ8w,Indianapolis Army Navy,6032 E 21st St,Indianapolis,IN,46219,5
dChRGpit9fM_kZK5pafNyA,The Love,130 S 18th St,Philadelphia,PA,19103,618
gRw-rxLFeNzyqa6hKPXD1w,Heitz Optical,2415 Homer M Adams Pkwy,Alton,IL,62002,5
FJDvhCGIwKuohPOK7JfLuA,Key One,,Tucson,AZ,85710,73
7qDAeIsMVj1McNktlICETw,Contempo Hair Salon,"4291 Shoal Line Blvd, Ste 3",Spring Hill,FL,34607,7
nIn0fMn-SEjLdJ44SG4CKw,A Personal Touch Cleaning Service,,Villanova,PA,19085,7
