business_id,name,address,city,state,postal_code,stars,review_count
Kq51_lGAgAigqmENITTr-A,Bala Better Health,"2 Bala Plz, Ste PL-11",Bala Cynwyd,PA,19004,4.0,13
mglME3E7esPSpIF5bias8w,Pier 1,1014 Baltimore Pike,Springfield,PA,19064,2.5,8
wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,"1625 W Valencia Rd, Ste 101-103",Tucson,AZ,85746,3.0,23
JX4tUpd09YFchLBuI43lGw,Naked Cyber Cafe & Espresso Bar,10303  108 Street NW,Edmonton,AB,T5J 1L7,4.0,12
lk9IwjZXqUMqqOhM774DtQ,Caviar & Bananas,2031 Broadway,Nashville,TN,37203,3.5,159
ABxoFuzZy5mqQ8C5FJJajQ,Core de Roma,201 Jefferson St,Bala Cynwyd,PA,19004,5.0,12
Hwt3_mOEmU-t--ywcemnMg,Gold's Gym,203 - 38th Ave N,St. Petersburg,FL,33704,3.0,17
5BmQX4UVJY19mMtafMg7JA,Breadland Organic Whole Grain Bakery,"11642 104 Avenue, Unit 642",Edmonton,AB,T5K 2T7,4.0,23
cVBxfMC4lp3DnocjYA3FHQ,Paws The Cat Cafe,10588 109 Street,Edmonton,AB,T5H 3B2,5.0,20
txyXRytGjwOXvS8s4sc-WA,Smoothie King,1070 E Tucson Marketplace Blvd,Tucson,AZ,85713,3.0,29
DQ7PyYlp2bX96WZa7TcaWQ,LensCrafters,"1150 Plymouth Meeting Mall, Ste 2230",Plymouth Meeting,PA,19462,2.5,8
uI9XODGY_2_ieTE6xJ0myw,Roman Forum,10440 N Dale Mabry Hwy,Tampa,FL,33618,4.0,23
JgpnXv_0XhV3SfbfB50nxw,Joe's Pizza,2038 N Dale Mabry Hwy,Tampa,FL,33607,4.0,35
Si6LXSR9gvAbmgO5DzV2cw,Lafitte's Landing Seafood House,1700 Lapalco Blvd,Harvey,LA,70058,2.5,38
seKihQKpGGnCeLuELRQPSQ,Twin Peaks,6880 E 82nd St,Indianapolis,IN,46250,3.5,257
uczmbBk5O3tYhGue13dCDg,New Orleans Spirit Tours,723 St Peter St,New Orleans,LA,70130,4.0,38
n7AQvGvNHlmun3kqXeBKVQ,Roy's Appliance Service,,Meridian,ID,83646,5.0,5
lOP3HxdUTaq0eXhwR_KC-w,Sweet Things Chocolates,2288 W 86th St,Indianapolis,IN,46260,4.0,13
B2qqjCl_BNNnXvWWfpFiLA,Pottery Barn Kids,"4011 Hillsboro Pike, Ste 102",Nashville,TN,37215,1.5,13
9Rww8yE6Dm4dSMEq09nwXg,Holly Nails & Spa,9101 Belcher Rd,Pinellas Park,FL,33782,4.5,16
aCDY7vXYMs54EbYuQScsnQ,39 North Taproom & Grill,110 S MacDade Blvd,Glenolden,PA,19036,4.5,25
-4dYswJy7SPcbcERvitmIg,Pathmark,3021 Grays Ferry Ave,Philadelphia,PA,19146,2.5,34
mFTaYsRDyeFaY2NDLfSaAA,River City Games,5203 99 Street NW,Edmonton,AB,T6E 5B7,4.5,5
pJfh3Ct8iL58NZa8ta-a5w,Top Shelf Sports Lounge,3173 Cypress Ridge Blvd,Wesley Chapel,FL,33544,4.5,95
7clCBgNbd-x2Wj96lZ6Mjw,Bier Brewery and Tap Room,5133 E 65th St,Indianapolis,IN,46220,4.5,139
ppFCk9aQkM338Rgwpl2F5A,Wawa,3604 Chestnut St,Philadelphia,PA,19104,3.0,56
eMjnw_7wp-CscyNh6Lu0ZA,AM&PM Locksmith,8540 Bustleton Ave,Philadelphia,PA,19152,4.5,58
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,"131 Anacapa St, Ste C",Santa Barbara,CA,93101,4.0,389
YNjyv0gfOr2g8lbmUpTnKg,Copper Vine,1001 Poydras St,New Orleans,LA,70112,4.5,350
LhpPSrulqVeTyJeK2xydvQ,Fresh Fruits & Salads,114 N 3rd St,Camden,NJ,08102,4.5,6
oaboaRBUgGjbo2kfUIKDLQ,Mike's Ice Cream,129 2nd Ave N,Nashville,TN,37201,4.5,593
-ZXYcCyDjj1QimnJyGtYtg,Gilley's Antique Mall,5789 E US Hwy 40,Plainfield,IN,46168,4.5,24
nUqrF-h9S7myCcvNDecOvw,Iron Horse Auto Body,825 Cacique St,Santa Barbara,CA,93103,4.5,32
vR9_bhoszcpXbB_APv6Xlw,James Dant,5624 E Washington St,Indianapolis,IN,46219,5.0,31
RK6-cJ9hj53RzOlCBmpT-g,Impasto,,Tampa,FL,33611,5.0,5
ZM46RDLXaFNo_z6t-j_L4w,Absolutely Perfect Inc,1153 Byberry Rd,Bensalem,PA,19020,3.5,5
pEm4xNCk8d0TF6A1gi-WDQ,TKO DJs,2650 S Big Bend,Maplewood,MO,63143,3.5,17
J_ksUDPpzPwfTGtI4zTRnQ,Riverview Room,600 Decatur St,New Orleans,LA,70130,4.5,7
knQ4vIgx-r85kjlWVVjcpQ,Silver and Blue Outfitters,5191 Meadowood Mall Cir,Reno,NV,89502,4.5,5
1MeIwdbTnZOBFCKOrgaxuw,Ricardo's Italian Cafe,1931 Park Ave,Saint Louis,MO,63104,3.5,80
8KMIT0NXu30Jz5Ojo5uxaw,Cornerstone Physical Therapy Associates,"1338 Bristol Pike, Ste 203",Bensalem,PA,19020,5.0,6
jiLGdnf42eYftkqfU2ze1w,Saks Fifth Avenue,8701 Keystone Crossing,Indianapolis,IN,46240,3.5,29
EuRGgOwJ0g1vTj2R04j37Q,Crafty Crab,51 Ludwig Dr,Fairview Heights,IL,62208,2.5,14
TLZ3-eDPLhUzfsWO4ad6Ug,Mahony's Po-Boys & Seafood,901 Iberville St,New Orleans,LA,70112,4.0,382
2Bi3ef7c0CrLxHD_-yy_tw,AIM Mail Center,"12112 N Rancho Vistoso Blvd, Ste 150",Oro Valley,AZ,85755,3.0,13
vje0KIiE7vtpx7JzmBx5LQ,The Pearl,163 107th Ave,Treasure Island,FL,33706,4.0,129
2n9HHBxG7yAyAUwXXa49aw,Mighty Dustless,1256 Valley Hill Trl,Southampton,PA,18966,4.0,5
kK2i5Xyd9SOpF5pCFilbcg,Swat Pest Control,36 1/2 W Butler Ave,Chalfont,PA,18914,4.5,7
I6DCYks9lqZeoZiVzW7PmA,Its Sold Here,94 York Rd,Willow Grove,PA,19090,1.5,10
VrGxoSNZfSiT-G4OqRRGIw,Sunset 44 Bistro,118 W Adams Ave,Saint Louis,MO,63122,4.0,73
H0NEOp4e3Zu598u6kO3y0g,America's Best Contacts & Eyeglasses,"79 Route 73, Ste 6, Coopers Plaza",Voorhees,NJ,08043,3.5,17
sB45WFgysT617bKWP_WJwA,Budweiser Brewery Experience,1200 Lynch St,Saint Louis,MO,63118,4.5,605
Fk1xpM7fjqEJ4paqk5ZFSg,Jamba Juice,"13601 W Mcmillan Rd, Ste 103",Boise,ID,83713,3.0,19
4dVrWc4Nhuw9apfk9BWEcA,Walmart Supercenter,41232 US Hwy 19 N,Tarpon Springs,FL,34689,2.0,29
xfmkEGiIERBaBMLhw-dTCg,Walmart Vision & Glasses,1675 S Christopher Columbus Blvd,Philadelphia,PA,19148,4.5,6
NTf_U8kYu9PAE2cZGJqtJg,Mirror Lake Community Library,280 5th St N,St. Petersburg,FL,33701,3.5,6
kk_oEw1j3xQ-cJaAII8A0Q,Giant Food Store,1760 Dekalb Pike,Blue Bell,PA,19422,3.0,29
RXpADfOCZBGi82-CGxYdsw,Monogram Express,2109 Veterans Memorial Blvd,Metairie,LA,70002,4.5,8
bYjnX_J1bHZob10DoSFkqQ,Tinkle Belle Diaper Service,,Santa Barbara,CA,93101,5.0,17
luGY5CJlb4CJ3LrBcSXMPA,Desert Design Center,4146 E Speedway Blvd,Tucson,AZ,85712,3.0,5
VZzivJEbmHItOxNXJB3SpA,Subway,"330 Franklin Rd, Ste 900-d",Brentwood,TN,37027,2.5,14
Q3kQYhkYxSRyYyeBgtk--A,Cook's Glass & Mirror,5703 W Morris St,Indianapolis,IN,46241,5.0,5
wEfK2HIYNzkA1QYfUjHBaw,Leslie's,"7955 E Broadway Blvd, Ste 147",Tucson,AZ,85710,2.5,15
BVo_36t3z7vfXp3XGgJkOg,Sears Auto Center,4400 Veterans Memorial Blvd,Metairie,LA,70006,1.5,37
P8brGDYVWjeW9GrKixH0yQ,Laser Spine Institute,5332 Avion Park Dr,Tampa,FL,33607,3.0,36
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,1800 Spring Garden St,Philadelphia,PA,19130,3.0,137
FRYkg_JvsWU9xIXZsEZcVA,Altamura,2127 Prytania St,New Orleans,LA,70115,3.5,27
9C2rpb56aQvW0ViZHK9sPw,Home Plate Sports Pub,4880 E 22nd St,Tucson,AZ,85711,3.5,56
k0yyD71s2F2eEKWRdkZ6jA,Cold Stone Creamery,"55 S Raceway Rd, Ste 400",Indianapolis,IN,46231,3.0,19
dM5OKNzk9AL2aiq-fV-SYg,Walmart Supercenter,400 W Northfield Dr,Brownsburg,IN,46112,1.5,14
Y6t4pnKm5LF8y5ChHA27ow,Meineke Car Care Center,2632 Land O Lakes Blvd,Land O Lakes,FL,34639,4.5,27
E_kLUlU60fzoZYAOxbH_3w,Pain Institute of Southern Arizona,"4582 N 1st Ave, Ste 170",Tucson,AZ,85718,2.5,43
0vCsslN-TYnDeOSNT4rIfg,Whole Foods Market,14598 Clay Terrace Blvd,Carmel,IN,46032,3.5,44
zFvqulgAYOpSG2t1v8AZ-w,The Cake Drip,1625 W Snow Cir,Tampa,FL,33606,4.0,40
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,230 Stearns Wharf,Santa Barbara,CA,93101,4.0,2404
GWGXTKR0Fhdvzf_isDqJug,"David Gower, Jr.  - Coldwell Banker Preferred","325 Chestnut St, Ste 1300",Philadelphia,PA,19106,5.0,17
-aeZuatjCDMV1X4gCTz9Ug,David Thomas Trailways,14005 McNulty Rd,Philadelphia,PA,19154,4.5,6
Lx8ZYUJ_-3Aa8N821mN1WQ,ALM Kainan,"390 N McCarran Blvd, Ste B",Sparks,NV,89434,4.0,13
uCQqtYW_xc1EJRm7NyakdA,Yogurt Beach,2500 E 2nd St,Reno,NV,89595,4.5,12
WYYdQDjx-DsCanlP0DpImQ,J Sushi,243 S 10th St,Philadelphia,PA,19107,4.5,72
U2htB9qk4hOXCdkccvvW0Q,D's Toys,"2616 Brill Rd, Ste A",Indianapolis,IN,46225,5.0,5
aNtKyc2rr-uK5cqzY9TVQQ,Chipotle Mexican Grill,10160 Ulmerton Rd,Largo,FL,33771,3.0,19
yv6kSKxDdZTsvHL25K-U2g,Nash Painting,471 Chestnut St,Nashville,TN,37203,4.5,45
t5tBd4p7BA7hNDitBUXxrw,Boise Therapeutic Massage Center,7153 W Emerald St,Boise,ID,83704,4.0,68
X_E7U2lVNEwbH_gpOBmAHQ,Cerveza Jack's,135 2nd Ave N,Nashville,TN,37201,4.0,182
EYA514FX4H8MwvFjv2ORQA,Carsmetics,3990 Ulmerton Rd,Clearwater,FL,33762,4.5,30
G4lRmwDHdvhZAhmtlsYYBw,Wendy's,741 Thompson Ln,Nashville,TN,37204,1.5,37
DTUfAthScapCGnOnnLUhPA,Stitchers' Dream,221 S Easton Rd,Glenside,PA,19038,3.5,9
zs4d4DqSp5zh3HGFh-PiiQ,Something Special,107 Heady Dr,Nashville,TN,37205,2.5,21
BxhkoR6cscJwwex8gx31OA,Bar-B-Cutie,1787 Gallatin Pike N,Madison,TN,37115,3.5,40
2oxrOO3c9_mQmqM9kwEm9Q,Total Access Urgent Care,2980 Dougherty Ferry Rd,Saint Louis,MO,63021,3.5,6
Ms5xG8i4p80KSMcF3tt4ug,Sal DeForte's Ristorante,1400 Parkway Ave,Ewing,NJ,08628,4.0,52
yswijv6wP2fKbMqAiEZ0vw,Reno Bighorns,400 N Center St,Reno,NV,89501,5.0,6
m9ncuZp0nEVhIwu24G-HRw,CVS Pharmacy,2215 Shelby St,Indianapolis,IN,46203,2.5,10
QZU7TcrztBb3tXaPbVCkXg,805 Ink,1228 State St,Santa Barbara,CA,93101,4.5,68
l6VYP8AxIoW6U52aDo8fXg,HMV Superstore,8882 170th Street,Edmonton,AB,T5T 4M2,4.0,24
wMAxTyExktVtfyqKAfApbA,Tuffy Tire & Auto Service Center,4353 Gunn Hwy,Tampa,FL,33618,4.0,16
E-nhxuu3zbt02oCj_1AFng,Selah,"510 N 7th Ave, Ste 130",Tucson,AZ,85705,5.0,60
vvE3HVfxlx9UYctKPr0dbw,Inspired By Purpose Wellness Center & Yoga Studio,"2910 Mill St, Ste B",Reno,NV,89502,4.5,9
JnbSkfsl_j2dUoHncBTonA,Collision XS,1416 Centreville Ave,Belleville,IL,62220,4.5,6
5BYQP7i7ckUlgSzX4Yhnmw,A-1 Expert Cleaning Services,34 Ring Ln,Levittown,PA,19055,5.0,5
DfGNZQsCe9k2BxazCf0p6g,Reno Family Chiropractic,"2900 Clear Acre Ln, Ste B",Reno,NV,89512,4.5,19
07JLsUInZr5OSiYH2XVi4g,Elegance African Hair Braiding,540 N 52nd St,Philadelphia,PA,19131,2.0,8
hPAmGKnDqummngSTOJN_8g,Timber Creek Park,236 Taylor Ave,Gloucester Township,NJ,08012,4.5,86
ORL4JE6tz3rJxVqkdKfegA,Gaylord Opryland Resort & Convention Center,2800 Opryland Dr,Nashville,TN,37214,3.0,1639
1GnJDrpp-jyDRCptavD9RQ,Rita's Italian Ice,5004 Pennell Rd,Aston,PA,19014,4.0,7
YD_eZ4TaFrHYRrJVzOXHfw,Passport Health,"1034 S Brentwood Blvd, Ste 710",Saint Louis,MO,63117,1.5,11
7Du9oW73YcYFmXdtU5aiSg,Kinjo's Japanese Restaurant,2875 Tyrone Blvd N,Saint Petersburg,FL,33710,3.5,17
h_qlv6CIXGVurFOhFQ945w,Tim Hortons,17004 111 Avenue NW,Edmonton,AB,T5S 2X1,3.5,6
QjV4v7q_pt7tt3K1US7IHg,PDQ Temple Terrace,5112 E Fowler Ave,Tampa,FL,33617,3.0,5
LGqiubTmpJ-A1L5n7dmc6g,Domino's Pizza,"1525 Lapalco Blvd, # A",Harvey,LA,70058,1.5,14
FTFtoylMzkrzqNVSl-bkKw,Giant Food Stores,60 N 23rd St,Philadelphia,PA,19103,4.0,19
59jkCUm4yHciKL1KW_1HJA,Roma Pizza & Italian Eatery,1103 Main St,Warrington,PA,18976,2.5,25
AzwiKZjVqHOxLaYtPAx8lA,Target,2450 Shoppers Ln,Wyncote,PA,19095,2.5,37
yM8LlTInbQH4FwWC97lz6w,McDonald's,1919 S Jefferson,St. Louis,MO,63104,1.5,100
tVdJ7CgBGAQ_nLomYXbB-Q,Cunningham Pest Control,"1125 W Chester Pike, Ste 178",Havertown,PA,19083,5.0,5
x8KYhsxbufQiYIK-4MRzHQ,West Coast Roofing,910 S Santa Rita Ave,Tucson,AZ,85749,2.0,13
3S9GYtMOYhbZl4MMPOHT0Q,The Handlebar Boise,1519 W Main St,Boise,ID,83702,4.5,34
znL4YrNbA2uwOQ3CchkmEA,Seaview Condominiums,14700 Gulf Blvd,Madeira Beach,FL,33708,4.5,8
CtMEJxpVMlNzFpB4PtFjfA,Aussie Grill,25340 Sierra Center Blvd,Lutz,FL,33559,4.0,75
O1oZpbZNDMH_gz8DhsZCdA,Wendy's,700 E. Hunting Park,Philadelphia,PA,19124,1.5,15
vPcfJ3rm3NpdqVDod2WxLA,China Pearl,2E Summit Sq Shopping Ctr,Langhorne,PA,19047,1.5,27
HI4_NqeHMJOnMoVFNxaFyA,1-Hour Auto Glass,"2292 W Magee Rd, Ste 270",Tucson,AZ,85742,3.5,21
pmuuoDqNZp7518AUd-YmPA,Bagelicious - King Of Prussia,216 W Beidler Rd,King of Prussia,PA,19406,3.5,60
tyJwgMRwo21wLUsga_RkQw,Blue Water Dental Care,1820 S Arlington Ave,Reno,NV,89509,4.0,10
2dlQX5sP9X6Dlm1MmNOlSw,ReAnimator Coffee,1523 E Susquehanna Ave,Philadelphia,PA,19125,4.0,105
IYlUaKC9nICjiWdk-ShPlg,Bub's Cafe,220 2nd St SW,Carmel,IN,46032,4.0,175
8oi1Gm7XLyK31Y3N3Wp2Ig,A & A Complete Services,,Smithton,IL,62285,1.0,11
hdRtVNk-G9Ep4eaHPKXmfA,Carpet One Floor & Home,11005 N Oracle Rd,Oro Valley,AZ,85737,4.0,7
tSFXJ0GFl5iUdy021YgWLw,The Mad Griddle ,2127 E 10th St,Indianapolis,IN,46201,5.0,7
Nh1rc9aSeO-Y5lYmXVS6CA,Quality Inn Nashville Downtown - Stadium,303 Interstate Dr,Nashville,TN,37213,2.0,53
r_8FZXRkGoc5QNbTOAIftA,MDG Salon Studio,"355 Indiana Ave, Ste 100",Indianapolis,IN,46204,4.5,85
ZU6NodDOWaabGkeNpOWdXw,530 Pub & Grill,530 Cleveland St,Clearwater,FL,33755,4.5,6
LVYAXWQB3t7tdwWteyjfhw,Option 1 Barber Shop,"5537 Sheldon Rd, Ste E",Tampa,FL,33615,4.0,16
mq5Z9X7yxgyApILQ11niNw,Wendy Warner- Medicine In Balance,"940 Town Center Dr, Ste F90",Langhorne,PA,19047,3.0,7
ONUZertKOOImiyQG66Z7Tg,Zakian Rug Cleaning,4930 Parkside Ave,Philadelphia,PA,19131,3.5,26
ULReFPrCIDRbGKwP3ZsHwg,Eddie's Southtown Donuts,4701 S Kingshighway Blvd,Saint Louis,MO,63109,4.5,55
25Uww0C0wvF9CZ_3B6vWtA,Enjoy The Mountain,1 Garden St,Santa Barbara,CA,93105,4.5,48
rCoWa-C7Os51GjFkCnFlVw,Rite Aid,700 Haddonfield Berlin Rd S37,Voorhees,NJ,08043,4.5,6
Dtuf4vD0znzwJW9vk3iTNw,Tomo Japanese Steakhouse and Sushi Bar,"7411 N Keystone Ave, Ste A",Indianapolis,IN,46240,4.0,246
8c0r7olQSYGcws0bTd3ikw,Zesty Tsunami,6614 Osteen Rd,New Port Richey,FL,34653,4.0,5
Ucl9Vo5lwrUmYbV8Dv8X5g,O'Briens Irish Pub,15435 N Dale Mabry Hwy,Tampa,FL,33618,4.0,108
cSeA6pC9JUlGfz-RNfvnGw,Midwest RV Center,6200 Heimos Industrial Park Dr,St. Louis,MO,63129,4.0,33
WdrpkH-q7FQY5nclmPfoDQ,"Daniel Colombo , MD",10581 Double R Blvd,Reno,NV,89521,4.0,7
xF9r1XbMvEOsJeHlmFhIvw,Weddings in Santa Barbara,263 Santa Monica Way,Santa Barbara,CA,93109,5.0,13
6BF3eaIzHtoNHSxKTFnTyg,Mister B's Cigar Box,8123 E US Hwy 36,Avon,IN,46123,3.5,13
4IcB3QyMEA85UTWFKh9O9A,Eat Mah Taco @ Pal's Lounge,949 N Rendon St,New Orleans,LA,70119,4.5,8
_mf0QKI1Jlk8zRinr-56FA,Jaguar Nashville,3 Cadillac Dr,Brentwood,TN,37027,5.0,10
h_3oLlQ_CFohwlzsrSZ6xQ,The Waxing Queen Of Tucson,2919 E Broadway Blvd,Tucson,AZ,85716,4.5,17
Y6heWJJ9AmEL58fZwgi9YQ,Rosati's Pizza,2944 W Ina Rd,Tucson,AZ,85741,4.0,58
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,765 S 4th St,Philadelphia,PA,19147,4.5,183
7FHjj04Wy2aqXl22NA_C0g,Aldi,9505 Uptown Dr,Indianapolis,IN,46256,4.0,18
TF6QZYUR5atqBEFnHP5bOw,The UPS Store,"748 S Meadows Pkwy, Ste A-9",Reno,NV,89521,3.5,27
WveinioyAZg3dtt0zHsyHA,99 Cents Only Stores,7125 E Golf Links Rd,Tucson,AZ,85730,4.0,17
6czqMScx8MRDirv7fxX7pw,Frankie's Fruit Bar,205 E Moana Ln,Reno,NV,89502,4.5,34
bi3SICnYEuFC7Cihyqz8Nw,Thach Used Tires,4916 Causeway Blvd,Tampa,FL,33619,5.0,5
xbRbvXSAVZBEwaUUn3mzbg,Lee Roy Selmon's,14457 N Dale Mabry Hwy,Tampa,FL,33618,3.5,42
qb5pyP6XOS8K2uuC4eQHmQ,Union on Fletcher,3600 East Fletcher Ave,Tampa,FL,33613,2.5,8
CWE-NfyMgi28ePUiansSdQ,Jim's Appliance & Furniture,1115 Lusk St,Boise,ID,83706,3.5,24
uDQgmudYDKiB6n4vwbEeDg,Chrysalis,9040 Carothers Pkwy,Franklin,TN,37067,4.5,112
MyE_zdul_JO-dOHOug4GQQ,Watson Adventures Scavenger Hunts,,Philadelphia,PA,19019,3.0,8
v5kwdvmg-J8g-ll0nkc3Sw,The Libertine Liquor Bar,38 E Washington St,Indianapolis,IN,46204,4.0,208
8p9euqoMCbT4AIL_Fgqb0g,Ballistic Fabrication,2010 W McMillan St,Tuscon,AZ,85705,4.0,5
my0bmPD5dgDFE1ia__LNlw,Nails & Beauty Lounge,953 E Brandon Blvd,Brandon,FL,33511,3.5,84
TzrA1TsKMKbrZBkw3q6DEQ,Scout's Treat Truck,,Indianapolis,IN,46250,4.5,20
Edg22x3CZkIv0GUib2oEFA,Mellow Mushroom,8227 Oak St,New Orleans,LA,70118,3.5,149
VVvUBlc_WIEb8obKGq39dA,Four Green Fields,"4100 George J Bean Pkwy, Airside E, Tampa International Airport",Tampa,FL,33607,4.5,39
FR5xx5YEzxAnoMdqGl7vRQ,Anytime Fitness,2141 Caton St,New Orleans,LA,70122,3.0,6
py5aKmlTB2NarfsfcOpHOQ,Cafe Con Leche,4100 George J Bean Pkwy,Tampa,FL,33607,2.5,55
jL_NufxqXi-BpW5uXKsPwQ,CVS Pharmacy,518 Port Royal Ave,Philadelphia,PA,19128,3.0,11
wZhGuW7vQpfhxeEvLHkTrA,Express Cafe,400 E Fairview Ave,Meridian,ID,83642,4.5,119
vjLSYNGFkPu4Y5HKoJlzYg,Rancho 777,777 E 4th St,Reno,NV,89512,2.0,5
I3ZLcrGzj-QN5vFgaJFrAg,Golf Galaxy,470 Swedesford Rd,Berwyn,PA,19312,3.0,25
Tm3QiAVLJAR2fEJK7APPPQ,City Fitness - Northern Liberties,200 Spring Garden St,Philadelphia,PA,19123,3.0,131
rJXa375PYt906DwptOOP3Q,Master Bait and Fishing Supplies,9735 W Hillsborough Ave,TAMPA,FL,33615,4.0,8
YR0nwxBOKk6DiLHNItfsBQ,Boston Pizza,200 St. Albert Rd,St Albert,AB,T8N 5H9,3.5,14
X4loIesbBkiTZLFstHv8Kw,Diagnostic Imaging Services,"4241 Veterans Memorial Blvd, Ste 100",Metairie,LA,70006,3.5,10
n8ecak12IF_jhnPNs37AZA,Baltic Bakery,2609 Edgemont St,Philadelphia,PA,19125,4.5,12
jnyHs1ZXy9qIE2gORZBQMg,Style Lab For Men,3326 Magazine St,New Orleans,LA,70115,4.0,6
zzUxvYE-8Fj_dWqsPcagNg,The Cleaning Authority - Tucson,2140 S 4th Ave,Tucson,AZ,85713,2.0,25
s-A1_pxGRYL2x4gONVzvFA,Easy Rider Repair,,Delaware County,PA,19064,5.0,13
_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,219 S 52nd St,Philadelphia,PA,19139,4.5,66
dJfkfBbJz7wi0RgW-ph_Eg,Sake House,5106 E Fowler Ave,Tampa,FL,33617,3.0,140
VbItL6RDULtnw4YvB6EhVg,Jon's Bar & Grille,300 South St,Philadelphia,PA,19147,3.0,178
OIsLivxtTTqH7i1QISoUOQ,Villas at San Dorado,10730 N Oracle Rd,Oro Valley,AZ,85737,4.0,7
W57cR9a7XP6RX56MSWHJJA,Las Margaritas,514 S Rampart St,New Orleans,LA,70163,3.5,58
6bFx8j2KqPfmT0XEUS1RMg,Center City Emergency Dentist,"1429 Walnut St, Fl 6",Philadelphia,PA,19102,3.5,120
